,date,month,hour,2018_values,2019_values,2020_values,2021_values,2022_values,2023_values
157,07,01,13,1824.57,1975.45,1914.5,1983.35,2126.51,1680.71
158,07,01,14,1846.06,1965.28,1867.64,1981.54,2106.92,1680.45
159,07,01,15,2017.98,2067.43,1967.62,2069.89,2159.54,1756.6
160,07,01,16,2202.58,2203.03,2099.33,2229.2,2265.66,1847.71
161,07,01,17,2180.36,2138.96,2042.05,2164.45,2220.02,1801.82
162,07,01,18,2053.6,2001.26,1892.42,2011.33,2062.47,1670.52
163,07,01,19,1914.67,1865.39,1833.31,1916.1,1890.23,1568.59
164,07,01,20,1814.19,1732.26,1713.43,1797.27,1778.96,1502.34
165,07,01,21,1676.93,1573.0,1547.67,1664.18,1686.1,1428.2
166,07,01,22,1562.78,1436.08,1414.18,1552.99,1595.67,1391.43
167,07,01,23,1485.45,1358.89,1324.7,1486.95,1508.0,1361.92
168,08,01,00,1429.92,1303.59,1260.1,1441.89,1431.95,1339.02
169,08,01,01,1407.46,1279.08,1231.8,1399.85,1384.38,1294.1
170,08,01,02,1414.2,1277.0,1205.39,1391.58,1369.17,1282.79
171,08,01,03,1453.67,1294.98,1253.8,1408.8,1363.14,1229.08
172,08,01,04,1559.76,1421.66,1308.76,1518.88,1380.54,1200.15
173,08,01,05,1819.39,1662.32,1610.47,1670.52,1444.43,1239.54
174,08,01,06,2104.1,1915.65,1880.8,1909.98,1538.92,1313.55
175,08,01,07,2183.18,2015.42,1951.94,2024.95,1667.53,1425.83
176,08,01,08,2194.96,2018.45,1960.9,2048.89,1796.65,1518.79
177,08,01,09,2176.65,2023.65,1970.95,2058.46,1925.07,1611.21
178,08,01,10,2121.45,2035.82,1965.26,2055.95,1959.98,1655.6
179,08,01,11,2101.03,2040.54,1936.8,2037.19,1947.85,1671.9
180,08,01,12,2087.91,2032.77,1866.65,2021.18,1897.77,1665.94
181,08,01,13,2073.33,2019.56,1837.47,1988.94,1827.95,1668.9
182,08,01,14,2075.19,2009.44,1837.54,1964.25,1844.09,1662.24
183,08,01,15,2141.52,2100.01,1949.33,2050.67,1953.14,1743.0
184,08,01,16,2354.79,2241.67,2097.15,2182.61,2106.12,1862.56
185,08,01,17,2265.36,2175.43,2050.26,2138.83,2092.22,1822.91
186,08,01,18,2082.16,2035.12,1904.03,1978.01,1949.45,1698.7
187,08,01,19,1920.46,1880.91,1765.63,1892.96,1836.21,1588.28
188,08,01,20,1768.34,1756.29,1642.42,1755.88,1728.97,1518.71
189,08,01,21,1575.09,1601.85,1529.45,1650.34,1654.19,1433.44
190,08,01,22,1415.64,1467.61,1392.06,1541.14,1585.23,1361.33
191,08,01,23,1308.92,1470.53,1289.32,1391.25,1556.7,1295.66
192,09,01,00,1220.93,1418.54,1249.89,1318.87,1517.99,1276.98
193,09,01,01,1155.29,1389.94,1230.39,1281.57,1483.54,1246.51
194,09,01,02,1138.61,1394.95,1229.77,1261.43,1464.47,1263.06
195,09,01,03,1124.6,1430.52,1281.9,1268.83,1440.67,1263.41
196,09,01,04,1192.17,1516.68,1358.81,1280.86,1468.31,1314.1
197,09,01,05,1431.87,1771.72,1604.92,1340.71,1520.5,1532.75
198,09,01,06,1701.33,2025.26,1850.72,1447.73,1571.87,1746.23
199,09,01,07,1730.63,2117.83,1941.61,1558.69,1662.6,1827.03
200,09,01,08,1802.66,2130.49,1957.53,1679.55,1759.08,1848.84
201,09,01,09,1933.19,2108.1,1968.33,1751.36,1864.89,1897.42
202,09,01,10,1906.53,2109.67,1970.8,1734.82,1898.93,1928.97
203,09,01,11,1871.23,2124.29,1985.42,1712.31,1894.3,1942.31
204,09,01,12,1873.85,2120.71,1996.53,1696.24,1882.73,1915.4
205,09,01,13,1856.5,2062.34,1984.21,1718.83,1867.5,1879.59
206,09,01,14,1844.75,2044.78,1963.97,1729.89,1897.06,1817.98
207,09,01,15,1966.47,2125.43,2024.07,1878.7,1996.46,1915.77
208,09,01,16,2122.64,2276.89,2118.66,2039.65,2138.92,2020.03
209,09,01,17,2057.95,2208.46,2044.91,2017.51,2090.43,1940.13
210,09,01,18,1907.78,2053.65,1909.68,1865.3,1972.02,1810.83
211,09,01,19,1760.76,1935.67,1791.08,1743.68,1863.92,1705.47
212,09,01,20,1640.44,1817.25,1682.3,1641.86,1743.55,1616.91
213,09,01,21,1476.69,1639.34,1509.75,1560.65,1636.8,1528.19
214,09,01,22,1345.49,1523.75,1362.33,1470.27,1525.77,1436.47
215,09,01,23,1259.54,1439.48,1308.22,1440.68,1436.26,1357.37
216,10,01,00,1204.21,1383.59,1251.49,1366.83,1385.23,1318.98
217,10,01,01,1194.44,1375.6,1213.8,1381.92,1352.68,1294.85
218,10,01,02,1211.59,1378.24,1189.36,1358.87,1335.94,1282.67
219,10,01,03,1259.2,1411.14,1264.78,1351.93,1373.41,1256.41
220,10,01,04,1382.0,1509.7,1360.99,1375.96,1484.2,1334.64
221,10,01,05,1664.02,1747.4,1602.55,1443.61,1729.69,1554.15
222,10,01,06,1941.5,2001.83,1815.07,1569.7,1971.96,1771.18
223,10,01,07,2033.64,2087.66,1937.12,1670.38,2074.03,1847.22
224,10,01,08,2046.14,2096.54,1929.51,1748.27,2078.3,1861.55
225,10,01,09,2079.73,2098.35,1917.79,1784.04,2077.51,1855.44
226,10,01,10,2105.94,2087.36,1885.48,1847.84,2073.84,1843.07
227,10,01,11,2119.31,2063.34,1879.54,1891.12,2036.96,1808.45
228,10,01,12,2098.1,2058.44,1881.8,1901.91,2034.8,1808.47
229,10,01,13,2053.36,2042.01,1870.22,1908.62,2014.24,1812.7
230,10,01,14,2025.47,2046.37,1860.14,1928.2,2000.24,1815.2
231,10,01,15,2129.18,2158.51,1939.86,2012.2,2116.6,1903.69
232,10,01,16,2281.37,2283.46,2072.29,2129.94,2263.99,2017.73
233,10,01,17,2181.23,2199.0,2043.67,2088.03,2217.86,1968.41
234,10,01,18,2046.37,2054.35,1886.06,1893.61,2085.53,1820.9
235,10,01,19,1924.42,1911.28,1707.66,1760.56,1973.52,1715.18
236,10,01,20,1779.86,1772.73,1592.3,1672.7,1859.06,1602.77
237,10,01,21,1622.18,1617.72,1493.53,1525.17,1731.44,1482.11
238,10,01,22,1476.2,1496.76,1414.86,1429.31,1615.62,1412.32
239,10,01,23,1382.54,1415.28,1332.68,1450.3,1529.95,1378.14
240,11,01,00,1320.76,1356.88,1271.5,1430.43,1471.95,1375.21
241,11,01,01,1294.53,1337.54,1232.03,1400.28,1451.06,1384.47
242,11,01,02,1290.26,1344.41,1215.18,1397.97,1446.12,1350.92
243,11,01,03,1314.27,1380.12,1234.73,1395.67,1463.39,1333.32
244,11,01,04,1416.48,1462.59,1251.69,1452.59,1560.91,1390.65
245,11,01,05,1683.3,1691.99,1344.73,1578.06,1800.94,1574.8
246,11,01,06,1944.31,1939.5,1463.36,1808.49,2040.74,1776.84
247,11,01,07,2036.83,2028.93,1569.82,1956.23,2130.84,1873.51
248,11,01,08,2068.55,2016.52,1624.69,1979.53,2133.02,1907.93
249,11,01,09,2068.49,2011.28,1745.03,2010.27,2153.61,1916.34
250,11,01,10,2060.56,2009.18,1752.0,2015.52,2141.7,1888.51
251,11,01,11,2036.95,1954.24,1732.14,2021.35,2119.28,1862.48
252,11,01,12,2033.12,1927.95,1732.65,2009.81,2088.34,1854.27
253,11,01,13,2010.05,1875.98,1735.23,1982.68,2091.41,1821.08
254,11,01,14,1996.7,1878.28,1745.75,1953.69,2080.66,1800.11
255,11,01,15,2090.09,1986.04,1814.54,2036.16,2177.48,1892.53
256,11,01,16,2197.79,2138.46,1944.42,2179.03,2296.35,2011.32
257,11,01,17,2123.62,2096.69,1955.37,2122.73,2231.86,1933.52
258,11,01,18,1992.1,1956.42,1827.5,2040.44,2075.66,1795.95
259,11,01,19,1844.27,1811.38,1723.92,1889.01,1942.29,1700.23
260,11,01,20,1698.7,1680.19,1605.39,1785.31,1823.74,1623.44
261,11,01,21,1553.13,1572.84,1516.55,1645.01,1707.85,1509.5
262,11,01,22,1415.88,1472.18,1416.11,1529.05,1582.26,1396.3
263,11,01,23,1319.4,1392.57,1327.39,1410.9,1490.37,1374.33
264,12,01,00,1260.36,1340.06,1275.49,1388.22,1433.42,1370.6
265,12,01,01,1233.63,1305.84,1224.09,1374.64,1396.82,1326.69
266,12,01,02,1217.74,1300.75,1212.95,1401.96,1383.63,1315.95
267,12,01,03,1244.56,1290.02,1188.95,1400.49,1396.98,1281.43
268,12,01,04,1339.83,1319.1,1181.87,1484.03,1501.68,1342.23
269,12,01,05,1612.34,1387.39,1241.03,1659.95,1727.64,1549.2
270,12,01,06,1891.72,1490.57,1325.18,1854.21,1959.07,1778.04
271,12,01,07,2002.14,1626.91,1502.94,1962.0,2065.38,1882.31
272,12,01,08,2009.21,1725.23,1640.1,1978.75,2079.12,1895.79
273,12,01,09,2023.55,1812.7,1687.82,1965.95,2100.44,1937.77
274,12,01,10,2015.28,1825.96,1714.84,1943.69,2094.0,1964.68
275,12,01,11,2022.5,1817.01,1718.69,1934.28,2089.47,1940.38
276,12,01,12,1991.77,1822.92,1720.84,1918.89,2077.05,1892.11
277,12,01,13,1954.67,1811.82,1705.68,1921.22,2039.72,1842.59
278,12,01,14,1946.54,1830.6,1734.92,1918.1,2010.81,1808.63
279,12,01,15,2052.71,1912.37,1833.33,2007.09,2075.46,1896.43
280,12,01,16,2169.24,2033.18,1985.23,2219.37,2216.56,1987.75
281,12,01,17,2111.59,1993.26,1971.47,2168.36,2140.96,1934.79
282,12,01,18,1957.29,1862.46,1925.25,2001.66,1990.91,1801.82
283,12,01,19,1797.5,1745.34,1737.01,1882.92,1850.49,1688.9
284,12,01,20,1671.13,1644.37,1595.31,1771.33,1725.97,1612.3
285,12,01,21,1560.47,1538.32,1508.81,1668.72,1597.13,1520.97
286,12,01,22,1452.59,1436.11,1373.97,1547.65,1493.75,1419.22
287,12,01,23,1354.12,1360.71,1302.21,1520.65,1412.24,1370.92
288,13,01,00,1275.44,1302.72,1260.74,1500.64,1349.84,1337.04
289,13,01,01,1226.26,1275.99,1237.09,1467.33,1302.38,1327.9
290,13,01,02,1208.94,1256.39,1230.97,1463.45,1294.03,1284.58
291,13,01,03,1206.37,1248.33,1274.37,1396.4,1327.21,1272.02
292,13,01,04,1223.97,1264.23,1360.66,1524.37,1409.29,1324.6
293,13,01,05,1308.51,1319.75,1625.83,1652.06,1616.24,1538.95
294,13,01,06,1435.36,1420.0,1823.34,1863.05,1859.44,1744.91
295,13,01,07,1585.16,1550.53,1889.73,2042.52,1974.17,1824.29
296,13,01,08,1705.18,1651.37,1903.54,2080.03,1976.61,1820.79
297,13,01,09,1794.97,1749.51,1915.91,2125.26,2008.0,1838.25
298,13,01,10,1839.36,1778.63,1918.02,2135.35,1995.2,1832.55
299,13,01,11,1834.31,1766.07,1919.9,2121.42,1980.81,1824.47
300,13,01,12,1811.83,1757.3,1918.24,2126.28,1977.91,1829.11
301,13,01,13,1807.08,1750.94,1902.85,2092.93,1951.47,1801.37
302,13,01,14,1826.76,1761.78,1894.05,2008.4,1907.97,1791.56
303,13,01,15,1923.84,1864.04,1991.12,2104.04,1997.07,1860.88
304,13,01,16,2049.08,2038.21,2152.01,2296.61,2166.99,1942.16
305,13,01,17,2001.08,1999.92,2084.02,2239.53,2147.68,1900.57
306,13,01,18,1857.99,1857.45,1945.91,2099.56,2008.4,1761.8
307,13,01,19,1733.0,1727.97,1814.04,1966.68,1874.35,1627.73
308,13,01,20,1639.85,1636.04,1664.65,1890.24,1754.82,1551.02
309,13,01,21,1551.44,1551.12,1525.16,1816.73,1642.72,1461.36
310,13,01,22,1454.73,1447.48,1383.74,1712.38,1518.06,1380.84
311,13,01,23,1362.46,1399.23,1283.89,1625.72,1424.66,1342.99
312,14,01,00,1282.39,1314.75,1243.77,1556.43,1362.89,1336.35
313,14,01,01,1249.71,1318.12,1215.74,1496.72,1329.56,1289.29
314,14,01,02,1257.72,1338.52,1224.71,1511.25,1319.26,1273.67
315,14,01,03,1264.83,1391.8,1245.63,1492.32,1338.62,1248.57
316,14,01,04,1282.4,1491.29,1376.56,1576.95,1424.21,1235.9
317,14,01,05,1335.83,1710.68,1671.55,1756.29,1644.92,1277.95
318,14,01,06,1442.15,1958.1,1950.22,1942.08,1885.7,1357.39
319,14,01,07,1566.71,2026.52,2011.18,2030.66,1987.31,1481.29
320,14,01,08,1692.93,2063.5,2023.2,2056.86,1994.88,1575.07
321,14,01,09,1801.65,2056.05,2033.04,2050.89,2015.79,1626.06
322,14,01,10,1830.18,2043.73,2027.92,2020.72,1994.11,1663.85
323,14,01,11,1829.72,2011.91,1999.62,1984.68,1981.44,1671.62
324,14,01,12,1822.86,2011.16,1954.8,1982.45,1945.29,1675.32
325,14,01,13,1808.31,1991.38,1931.41,1971.47,1914.04,1658.58
326,14,01,14,1822.88,1961.21,1912.79,1983.37,1920.81,1685.08
327,14,01,15,1943.17,2071.87,1963.12,2073.59,2024.03,1759.72
328,14,01,16,2085.9,2278.48,2081.67,2258.43,2178.46,1849.56
329,14,01,17,2041.12,2223.56,2048.5,2214.24,2114.46,1809.71
330,14,01,18,1900.91,2076.29,1908.41,2041.85,1960.59,1691.59
331,14,01,19,1763.55,1931.69,1810.83,1902.0,1834.17,1596.16
332,14,01,20,1638.65,1786.05,1662.31,1769.72,1741.54,1523.99
333,14,01,21,1504.95,1638.9,1516.02,1620.02,1664.59,1452.3
334,14,01,22,1387.52,1509.86,1388.7,1520.98,1580.23,1395.44
335,14,01,23,1312.69,1395.96,1303.63,1436.49,1506.02,1352.36
336,15,01,00,1256.42,1353.94,1259.59,1382.38,1444.92,1337.24
337,15,01,01,1225.03,1334.07,1220.06,1359.25,1411.4,1302.75
338,15,01,02,1236.58,1344.78,1214.73,1359.75,1398.06,1305.01
