TotalLoad,year,month,date,hour
1833.22998,2022,01,15,12
1786.069946,2022,01,15,13
1802.160034,2022,01,15,14
1928.76001,2022,01,15,15
2092.0,2022,01,15,16
2058.060059,2022,01,15,17
1920.380005,2022,01,15,18
1805.0,2022,01,15,19
1701.349976,2022,01,15,20
1619.640015,2022,01,15,21
1528.099976,2022,01,15,22
1451.109985,2022,01,15,23
1383.109985,2022,01,16,00
1343.439941,2022,01,16,01
1318.359985,2022,01,16,02
1303.290039,2022,01,16,03
1323.02002,2022,01,16,04
1386.98999,2022,01,16,05
1483.709961,2022,01,16,06
1610.969971,2022,01,16,07
1716.849976,2022,01,16,08
1788.369995,2022,01,16,09
1822.98999,2022,01,16,10
1860.449951,2022,01,16,11
1865.97998,2022,01,16,12
1870.369995,2022,01,16,13
1830.939941,2022,01,16,14
1935.5,2022,01,16,15
2096.699951,2022,01,16,16
2046.72998,2022,01,16,17
1882.469971,2022,01,16,18
1799.859985,2022,01,16,19
1687.410034,2022,01,16,20
1583.930054,2022,01,16,21
1483.050049,2022,01,16,22
1401.47998,2022,01,16,23
1341.819946,2022,01,17,00
1321.839966,2022,01,17,01
1327.119995,2022,01,17,02
1341.459961,2022,01,17,03
1433.119995,2022,01,17,04
1675.050049,2022,01,17,05
1965.219971,2022,01,17,06
2054.47998,2022,01,17,07
2092.060059,2022,01,17,08
2110.719971,2022,01,17,09
2082.560059,2022,01,17,10
2041.51001,2022,01,17,11
2018.199951,2022,01,17,12
2004.930054,2022,01,17,13
1985.689941,2022,01,17,14
2098.870117,2022,01,17,15
2298.590088,2022,01,17,16
2231.850098,2022,01,17,17
2067.620117,2022,01,17,18
1919.319946,2022,01,17,19
1813.300049,2022,01,17,20
1699.420044,2022,01,17,21
1586.209961,2022,01,17,22
1502.680054,2022,01,17,23
1451.890015,2022,01,18,00
1430.930054,2022,01,18,01
1415.829956,2022,01,18,02
1440.680054,2022,01,18,03
1536.76001,2022,01,18,04
1784.939941,2022,01,18,05
2009.439941,2022,01,18,06
2093.649902,2022,01,18,07
2121.300049,2022,01,18,08
2127.199951,2022,01,18,09
2102.159912,2022,01,18,10
2074.919922,2022,01,18,11
2040.459961,2022,01,18,12
1994.030029,2022,01,18,13
1971.130005,2022,01,18,14
2062.090088,2022,01,18,15
2235.149902,2022,01,18,16
2162.409912,2022,01,18,17
2012.76001,2022,01,18,18
1896.530029,2022,01,18,19
1753.569946,2022,01,18,20
1630.01001,2022,01,18,21
1526.599976,2022,01,18,22
1497.680054,2022,01,18,23
1467.650024,2022,01,19,00
1430.189941,2022,01,19,01
1417.719971,2022,01,19,02
1440.300049,2022,01,19,03
1499.0,2022,01,19,04
1722.579956,2022,01,19,05
1938.030029,2022,01,19,06
2013.300049,2022,01,19,07
2064.98999,2022,01,19,08
2098.290039,2022,01,19,09
2083.139893,2022,01,19,10
2087.899902,2022,01,19,11
2101.0,2022,01,19,12
2098.98999,2022,01,19,13
2087.100098,2022,01,19,14
2156.290039,2022,01,19,15
2273.689941,2022,01,19,16
2212.370117,2022,01,19,17
2044.640015,2022,01,19,18
1915.800049,2022,01,19,19
1812.650024,2022,01,19,20
1717.75,2022,01,19,21
1611.680054,2022,01,19,22
1535.189941,2022,01,19,23
1487.410034,2022,01,20,00
1465.26001,2022,01,20,01
1485.77002,2022,01,20,02
1516.400024,2022,01,20,03
1606.209961,2022,01,20,04
1844.550049,2022,01,20,05
2059.0,2022,01,20,06
2162.790039,2022,01,20,07
2188.649902,2022,01,20,08
2193.97998,2022,01,20,09
2175.209961,2022,01,20,10
2154.860107,2022,01,20,11
2131.72998,2022,01,20,12
2116.129883,2022,01,20,13
2068.51001,2022,01,20,14
2114.709961,2022,01,20,15
2286.610107,2022,01,20,16
2244.23999,2022,01,20,17
2114.469971,2022,01,20,18
2007.030029,2022,01,20,19
1869.77002,2022,01,20,20
1789.550049,2022,01,20,21
1689.959961,2022,01,20,22
1600.560059,2022,01,20,23
1557.660034,2022,01,21,00
1513.119995,2022,01,21,01
1499.550049,2022,01,21,02
1505.459961,2022,01,21,03
1625.130005,2022,01,21,04
1821.97998,2022,01,21,05
2037.790039,2022,01,21,06
2107.070068,2022,01,21,07
2115.110107,2022,01,21,08
2117.97998,2022,01,21,09
2073.439941,2022,01,21,10
2031.130005,2022,01,21,11
2003.349976,2022,01,21,12
1961.459961,2022,01,21,13
1977.150024,2022,01,21,14
2060.550049,2022,01,21,15
2237.879883,2022,01,21,16
2197.47998,2022,01,21,17
2050.379883,2022,01,21,18
1902.23999,2022,01,21,19
1773.23999,2022,01,21,20
1714.550049,2022,01,21,21
1608.459961,2022,01,21,22
1536.52002,2022,01,21,23
1506.949951,2022,01,22,00
1483.689941,2022,01,22,01
1441.069946,2022,01,22,02
1447.920044,2022,01,22,03
1489.290039,2022,01,22,04
1547.459961,2022,01,22,05
1656.130005,2022,01,22,06
1771.130005,2022,01,22,07
1901.400024,2022,01,22,08
1950.069946,2022,01,22,09
1882.050049,2022,01,22,10
1858.369995,2022,01,22,11
1851.920044,2022,01,22,12
1847.890015,2022,01,22,13
1868.98999,2022,01,22,14
1967.680054,2022,01,22,15
2128.429932,2022,01,22,16
2105.76001,2022,01,22,17
1955.430054,2022,01,22,18
1839.199951,2022,01,22,19
1735.359985,2022,01,22,20
1644.73999,2022,01,22,21
1553.569946,2022,01,22,22
1446.23999,2022,01,22,23
1354.369995,2022,01,23,00
1302.670044,2022,01,23,01
1277.77002,2022,01,23,02
1269.75,2022,01,23,03
1284.699951,2022,01,23,04
1338.680054,2022,01,23,05
1440.880005,2022,01,23,06
1563.089966,2022,01,23,07
1668.400024,2022,01,23,08
1740.01001,2022,01,23,09
1758.530029,2022,01,23,10
1791.689941,2022,01,23,11
1779.47998,2022,01,23,12
1739.26001,2022,01,23,13
1731.47998,2022,01,23,14
1820.76001,2022,01,23,15
1997.119995,2022,01,23,16
1959.22998,2022,01,23,17
1814.290039,2022,01,23,18
1712.140015,2022,01,23,19
1609.640015,2022,01,23,20
1545.119995,2022,01,23,21
1426.290039,2022,01,23,22
1345.839966,2022,01,23,23
1290.079956,2022,01,24,00
1263.01001,2022,01,24,01
1258.319946,2022,01,24,02
1271.829956,2022,01,24,03
1375.160034,2022,01,24,04
1594.709961,2022,01,24,05
1850.819946,2022,01,24,06
1968.47998,2022,01,24,07
1984.0,2022,01,24,08
2017.369995,2022,01,24,09
2019.839966,2022,01,24,10
2023.670044,2022,01,24,11
2003.01001,2022,01,24,12
1981.98999,2022,01,24,13
1960.300049,2022,01,24,14
2030.390015,2022,01,24,15
2187.060059,2022,01,24,16
2083.820068,2022,01,24,17
1933.630005,2022,01,24,18
1807.060059,2022,01,24,19
1686.180054,2022,01,24,20
