,Unnamed: 0,values,date,month,year,hour
497,,15836.0,21.0,1.0,2022.0,17.0
498,,15685.0,21.0,1.0,2022.0,18.0
499,,8002.0,21.0,1.0,2022.0,19.0
500,,3540.0,21.0,1.0,2022.0,20.0
501,,3535.0,21.0,1.0,2022.0,21.0
502,,3286.0,21.0,1.0,2022.0,22.0
503,,4472.0,21.0,1.0,2022.0,23.0
504,,3578.0,22.0,1.0,2022.0,0.0
505,,3372.0,22.0,1.0,2022.0,1.0
506,,3269.0,22.0,1.0,2022.0,2.0
507,,4423.0,22.0,1.0,2022.0,3.0
508,,3370.0,22.0,1.0,2022.0,4.0
509,,3381.0,22.0,1.0,2022.0,5.0
510,,10855.0,22.0,1.0,2022.0,6.0
511,,10514.0,22.0,1.0,2022.0,7.0
512,,7882.0,22.0,1.0,2022.0,8.0
513,,7584.0,22.0,1.0,2022.0,9.0
514,,5091.0,22.0,1.0,2022.0,10.0
515,,52194.0,22.0,1.0,2022.0,11.0
516,,5770.0,22.0,1.0,2022.0,12.0
517,,5185.0,22.0,1.0,2022.0,13.0
518,,6745.0,22.0,1.0,2022.0,14.0
519,,6046.0,22.0,1.0,2022.0,15.0
520,,15834.0,22.0,1.0,2022.0,16.0
521,,19478.0,22.0,1.0,2022.0,17.0
522,,100262.0,22.0,1.0,2022.0,18.0
523,,5226.0,22.0,1.0,2022.0,19.0
524,,4654.0,22.0,1.0,2022.0,20.0
525,,3156.0,22.0,1.0,2022.0,21.0
526,,23406.0,22.0,1.0,2022.0,22.0
527,,4628.0,22.0,1.0,2022.0,23.0
528,,3162.0,23.0,1.0,2022.0,0.0
529,,3837.0,23.0,1.0,2022.0,1.0
530,,4606.0,23.0,1.0,2022.0,2.0
531,,3459.0,23.0,1.0,2022.0,3.0
532,,4384.0,23.0,1.0,2022.0,4.0
533,,3759.0,23.0,1.0,2022.0,5.0
534,,11385.0,23.0,1.0,2022.0,6.0
535,,13755.0,23.0,1.0,2022.0,7.0
536,,8951.0,23.0,1.0,2022.0,8.0
537,,8084.0,23.0,1.0,2022.0,9.0
538,,5067.0,23.0,1.0,2022.0,10.0
539,,6316.0,23.0,1.0,2022.0,11.0
540,,5232.0,23.0,1.0,2022.0,12.0
541,,4980.0,23.0,1.0,2022.0,13.0
542,,52468.0,23.0,1.0,2022.0,14.0
543,,4564.0,23.0,1.0,2022.0,15.0
544,,9025.0,23.0,1.0,2022.0,16.0
545,,16447.0,23.0,1.0,2022.0,17.0
546,,15153.0,23.0,1.0,2022.0,18.0
547,,4804.0,23.0,1.0,2022.0,19.0
548,,4050.0,23.0,1.0,2022.0,20.0
549,,3909.0,23.0,1.0,2022.0,21.0
550,,4320.0,23.0,1.0,2022.0,22.0
551,,3938.0,23.0,1.0,2022.0,23.0
552,,3455.0,24.0,1.0,2022.0,0.0
553,,4580.0,24.0,1.0,2022.0,1.0
554,,3529.0,24.0,1.0,2022.0,2.0
555,,3554.0,24.0,1.0,2022.0,3.0
